"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"5438","61","GO Cellular Component","","Cytosol","2.0E-4","NFKB1|AHR|IRF1|DPF2|RARA|SMAD2|CSNK2A2|MAPK3|PPM1F|EPAS1|STAT3|CASP6|KAT6A|TP53|REL|PLK1|SMAD1|FOS|PRKACA|SP3|REST|STAT2|GSK3B|PGR|PRKCD|KLHL22|SMAD3|MYB|DUSP9|WWP2|ETS2|KDM5B|DUSP23|THEM4|NFKB2|RUNX2|NCOA3|YBX1|STK40|NR5A1|TFDP1|WT1|GLRX|URI1|NR2F2|MAPK8|NFATC2|NFE2L2|RELA|NFATC1|TNIK|HMGA1|HIPK1|HSF1|FLI1|LATS1|HIF1A|AKT1|MEF2A|NR1H3|CTNNB1","45910","46254|46206|46329|46050|46323|46113|46080|46029|46365|46386|46305|46167|46185|46335|46005|46035|46317|46002|46014|46218|46122|46038|46338|46227|46008|46086|46215|46332|46359|46212|46032|46344|46161|46137|46098|46260|46263|46248|46011|46320|46341|46242|46068|46092|46077|46284|46347|46221|46200|46311|46209|46152|46149|46203|46041|45999|46071|46374|46170|46140|46233","2.3E-6","","GO:0005829","0.36989700043360185","0"
"361","12","Reactome Pathways","","Transcriptional Regulation by TP53","2.0E-4","CSNK2A2|TP63|CASP6|KAT6A|TP53|FOS|E2F1|JUN|TFDP1|E2F4|HIPK1|AKT1","45910","46080|46128|46167|46185|46335|46002|46020|46302|46341|46362|46149|46374","6.47E-6","","HSA-3700989","0.36989700043360185","0"
"100","7","GO Biological Process","","Positive regulation of myeloid cell differentiation","2.1E-4","STAT3|RUNX1|FOS|GATA2|ETS1|HSF1|HIF1A","45910","46305|46194|46002|46044|46290|46203|46071","6.7E-6","","GO:0045639","0.3677780705266081","0"
"883","19","GO Biological Process","","Multicellular organismal reproductive process","2.1E-4","CYP27B1|EGR1|SOX9|RARA|CSNK2A2|TP63|PLK1|JUNB|SMAD1|PRKACA|SP3|PGR|E2F1|ATRX|NR5A1|WT1|NR2F2|AKT1|CTNNB1","45910","46101|46296|46239|46323|46080|46128|46035|46272|46317|46014|46218|46227|46020|46299|46320|46242|46077|46374|46233","6.67E-6","","GO:0048609","0.3677780705266081","0"
"100","7","GO Biological Process","","Bone morphogenesis","2.1E-4","SOX9|RARA|RARB|RUNX2|RARG|DLX5|TFAP2A","45910","46239|46323|46287|46260|46107|46179|46056","6.7E-6","","GO:0060349","0.3677780705266081","0"
"64","6","GO Biological Process","","SMAD protein signal transduction","2.1E-4","SMAD2|SMAD1|FOS|SMAD3|JUN|HNF1A","45910","46113|46317|46002|46215|46302|46083","6.58E-6","","GO:0060395","0.3677780705266081","0"
"100","7","GO Biological Process","","Regulation of biomineral tissue development","2.1E-4","CYP27B1|SOX9|CEBPB|SMAD3|ATF4|HIF1A|TFAP2A","45910","46101|46239|46053|46215|46197|46071|46056","6.7E-6","","GO:0070167","0.3677780705266081","0"
"143","8","GO Biological Process","","Regulation of reactive oxygen species metabolic process","2.2E-4","TP53|PRKCD|FOXM1|ZC3H12A|NFE2L2|PPARA|HIF1A|TFAP2A","45910","46335|46008|46158|46350|46221|46119|46071|46056","6.96E-6","","GO:2000377","0.3657577319177794","0"
"365","12","GO Biological Process","","Regulation of apoptotic signaling pathway","2.3E-4","CSNK2A2|TP63|TP53|GSK3B|PRKCD|URI1|NFE2L2|RELA|HIF1A|AKT1|MYC|CTNNB1","45910","46080|46128|46335|46338|46008|46092|46221|46200|46071|46374|46191|46233","7.2E-6","","GO:2001233","0.36382721639824067","0"
"145","8","GO Biological Process","","Male gonad development","2.4E-4","SOX9|RARA|GATA6|ATRX|NR5A1|SF1|WT1|GATA3","45910","46239|46323|46278|46299|46320|46110|46242|46125","7.67E-6","","GO:0008584","0.3619788758288394","0"
"37","5","GO Biological Process","","Embryonic camera-type eye development","2.4E-4","RARA|SP3|RARG|HIPK1|TFAP2A","45910","46323|46218|46107|46149|46056","7.85E-6","","GO:0031076","0.3619788758288394","0"
"248","10","GO Biological Process","","Cellular response to extracellular stimulus","2.4E-4","USF2|MAPK3|SRF|TP53|FOS|ATF4|ZC3H12A|MAPK8|NFE2L2|PPARA","45910","46371|46029|46368|46335|46002|46197|46350|46284|46221|46119","7.92E-6","","GO:0031668","0.3619788758288394","0"
"1726","28","GO Biological Process","","Regulation of intracellular signal transduction","2.4E-4","SPI1|SOX9|MAPK3|KAT6A|TP53|REL|EZH2|GSK3B|PRKCD|KLHL22|CDK10|FOXM1|DUSP9|DUSP19|JUN|ZC3H12A|STK40|GATA3|URI1|NFE2L2|RELA|PPARA|TNIK|HIF1A|HNF1A|AKT1|MYC|CTNNB1","45910","46314|46239|46029|46185|46335|46005|46026|46338|46008|46086|46281|46158|46359|46293|46302|46350|46011|46125|46092|46221|46200|46119|46209|46071|46083|46374|46191|46233","7.76E-6","","GO:1902531","0.3619788758288394","0"
"16","4","GO Biological Process","","Negative regulation of miRNA maturation","2.4E-4","STAT3|TP53|ZC3H12A|HNF1A","45910","46305|46335|46350|46083","7.88E-6","","GO:1903799","0.3619788758288394","0"
"522","15","GO Molecular Function","","Transcription coregulator activity","2.4E-4","DPF2|NR0B2|KAT6A|EZH2|KDM5B|NCOA3|SF1|URI1|ETS1|POU2AF1|HMGA1|EWSR1|CBFB|CTNNB1|TFAP2A","45910","46050|46356|46185|46026|46344|46263|46110|46092|46290|46236|46152|46062|46269|46233|46056","2.46E-6","","GO:0003712","0.3619788758288394","0"
"53","6","GO Molecular Function","","General transcription initiation factor binding","2.4E-4","AHR|TP53|ATF4|JUN|RELA|HSF1","45910","46206|46335|46197|46302|46200|46203","2.4E-6","","GO:0140296","0.3619788758288394","0"
"1154","24","DISEASES","","Musculoskeletal system disease","2.4E-4","CYP27B1|EGR2|SOX9|STAT3|TP63|TP53|REL|RUNX1|EZH2|PGR|RUNX2|NCOA3|ATRX|GATA3|SRY|RARG|NFATC1|MITF|EWSR1|FLI1|SP7|NR4A3|CTNNB1|DLX5","45910","46101|46251|46239|46305|46128|46335|46005|46194|46026|46227|46260|46263|46299|46125|46023|46107|46311|46146|46062|46041|46059|46377|46233|46179","6.22E-7","","DOID:17","0.3619788758288394","0"
"195","9","Reactome Pathways","","Cellular response to chemical stress","2.4E-4","CSNK2A2|STAT3|GSK3B|PRKCD|ATF4|NFE2L2|PPARA|AKT1|MYC","45910","46080|46305|46338|46008|46197|46221|46119|46374|46191","8.14E-6","","HSA-9711123","0.3619788758288394","0"
"827","19","GO Molecular Function","","Zinc ion binding","2.5E-4","EGR1|RARA|KAT6A|GATA6|TP53|PGR|RARB|SMAD3|GATA2|KDM5B|NR5A1|SF1|WT1|GATA3|NR2F2|PPARA|RARG|NR1H3|NR4A3","45910","46296|46323|46185|46278|46335|46227|46287|46215|46044|46344|46320|46110|46242|46125|46077|46119|46107|46140|46377","2.65E-6","","GO:0008270","0.3602059991327963","0"
"104","7","GO Biological Process","","Gland morphogenesis","2.6E-4","NFKB1|SOX9|TP63|CEBPB|PGR|KDM5B|RARG","45910","46254|46239|46128|46053|46227|46344|46107","8.54E-6","","GO:0022612","0.35850266520291824","0"
"372","12","GO Biological Process","","Multicellular organismal homeostasis","2.7E-4","EGR1|SOX9|EPAS1|STAT3|TP63|SRF|PRKACA|GATA2|MTF1|HNF1A|NR4A3|CTNNB1","45910","46296|46239|46386|46305|46128|46368|46014|46044|46116|46083|46377|46233","8.67E-6","","GO:0048871","0.3568636235841013","0"
"105","7","Reactome Pathways","","KEAP1-NFE2L2 pathway","2.7E-4","CSNK2A2|GSK3B|PRKCD|ATF4|NFE2L2|AKT1|MYC","45910","46080|46338|46008|46197|46221|46374|46191","9.06E-6","","HSA-9755511","0.3568636235841013","0"
"149","8","GO Biological Process","","Regulation of epithelial cell differentiation","2.8E-4","CYP27B1|SOX9|TP63|CEBPB|EZH2|NCOA3|GATA3|CTNNB1","45910","46101|46239|46128|46053|46026|46263|46125|46233","9.27E-6","","GO:0030856","0.3552841968657781","0"
"149","8","GO Biological Process","","Response to monosaccharide","2.8E-4","EGR1|NR0B2|SMAD2|SRF|PRKACA|RUNX2|HIF1A|HNF1A","45910","46296|46356|46113|46368|46014|46260|46071|46083","9.27E-6","","GO:0034284","0.3552841968657781","0"
"375","12","GO Biological Process","","Positive regulation of proteolysis","2.8E-4","PPM1F|STAT3|CASP6|PLK1|REST|GSK3B|SMAD3|ZC3H12A|NFE2L2|HSF1|AKT1|MYC","45910","46365|46305|46167|46035|46122|46338|46215|46350|46221|46203|46374|46191","9.37E-6","","GO:0045862","0.3552841968657781","0"
"252","10","GO Biological Process","","Response to alcohol","2.8E-4","AHR|RARA|NR0B2|SMAD2|FOS|GATA3|PPARA|HNF1A|AKT1|CTNNB1","45910","46206|46323|46356|46113|46002|46125|46119|46083|46374|46233","9.06E-6","","GO:0097305","0.3552841968657781","0"
"39","5","Reactome Pathways","","Transcriptional Regulation by VENTX","2.8E-4","NFKB1|TP53|CEBPB|RELA|CTNNB1","45910","46254|46335|46053|46200|46233","9.92E-6","","HSA-8853884","0.3552841968657781","0"
"4","3","Reactome Pathways","","RUNX2 regulates genes involved in differentiation of myeloid cells","2.8E-4","RUNX1|RUNX2|CBFB","45910","46194|46260|46269","9.45E-6","","HSA-8941333","0.3552841968657781","0"
"17","4","Reactome Pathways","","Germ layer formation at gastrulation","2.8E-4","NANOG|SMAD2|SMAD3|CTNNB1","45910","46245|46113|46215|46233","9.68E-6","","HSA-9754189","0.3552841968657781","0"
"39","5","GO Biological Process","","Forelimb morphogenesis","3.0E-4","TP63|RUNX2|ATRX|CTNNB1|TFAP2A","45910","46128|46260|46299|46233|46056","9.92E-6","","GO:0035136","0.35228787452803373","0"
"516","14","GO Biological Process","","Regulation of cellular amide metabolic process","3.1E-4","RARA|TP53|SP1|PRKCD|ATF4|YBX1|ZC3H12A|WT1|NFE2L2|RELA|UHMK1|AKT1|MYC|ENC1","45910","46323|46335|46182|46008|46197|46248|46350|46242|46221|46200|46383|46374|46191|46131","1.02E-5","","GO:0034248","0.3508638306165727","0"
"201","9","GO Biological Process","","Regulation of protein binding","3.1E-4","MAPK3|PLK1|PRKACA|GSK3B|PRKCD|MAPK8|PPARA|HSF1|AKT1","45910","46029|46035|46014|46338|46008|46284|46119|46203|46374","1.03E-5","","GO:0043393","0.3508638306165727","0"
"70","6","GO Biological Process","","Mesoderm formation","3.2E-4","SMAD2|SRF|SMAD1|PRKACA|SMAD3|HNF1A","45910","46113|46368|46317|46014|46215|46083","1.06E-5","","GO:0001707","0.34948500216800943","0"
"70","6","GO Biological Process","","Regulation of steroid biosynthetic process","3.2E-4","NFKB1|CYP27B1|EGR1|REST|NR5A1|SF1","45910","46254|46101|46296|46122|46320|46110","1.06E-5","","GO:0050810","0.34948500216800943","0"
"153","8","GO Biological Process","","Regulation of mitochondrion organization","3.3E-4","CSNK2A2|CASP6|TP53|STAT2|GSK3B|MAPK8|HIF1A|AKT1","45910","46080|46167|46335|46038|46338|46284|46071|46374","1.11E-5","","GO:0010821","0.34814860601221126","0"
"915","19","GO Biological Process","","Positive regulation of transport","3.3E-4","NR0B2|CSNK2A2|CEBPB|PRKACA|GSK3B|PRKCD|SMAD3|ATF4|GATA2|ZC3H12A|GLRX|MAPK8|NFE2L2|HIF1A|HNF1A|AKT1|MEF2A|NR1H3|NR4A3","45910","46356|46080|46053|46014|46338|46008|46215|46197|46044|46350|46068|46284|46221|46071|46083|46374|46170|46140|46377","1.09E-5","","GO:0051050","0.34814860601221126","0"
"519","14","GO Biological Process","","Negative regulation of intracellular signal transduction","3.3E-4","SPI1|GSK3B|PRKCD|FOXM1|DUSP9|DUSP19|ZC3H12A|URI1|NFE2L2|RELA|PPARA|HIF1A|AKT1|MYC","45910","46314|46338|46008|46158|46359|46293|46350|46092|46221|46200|46119|46071|46374|46191","1.09E-5","","GO:1902532","0.34814860601221126","0"
"18","4","Reactome Pathways","","SUMOylation of transcription factors","3.3E-4","TP53|SP3|MITF|TFAP2A","45910","46335|46218|46146|46056","1.18E-5","","HSA-3232118","0.34814860601221126","0"
"204","9","GO Biological Process","","Striated muscle cell differentiation","3.4E-4","RARA|SRF|GATA6|RARB|KLF5|WT1|NFATC2|AKT1|MEF2A","45910","46323|46368|46278|46287|46257|46242|46347|46374|46170","1.15E-5","","GO:0051146","0.34685210829577445","0"
"18","4","GO Biological Process","","Growth plate cartilage development","3.5E-4","SOX9|RARA|RARB|RARG","45910","46239|46323|46287|46107","1.18E-5","","GO:0003417","0.3455931955649724","0"
"154","8","GO Biological Process","","Regeneration","3.5E-4","NR0B2|CSNK2A2|RUNX1|CEBPB|EZH2|JUN|KLF5|NR4A3","45910","46356|46080|46194|46053|46026|46302|46257|46377","1.17E-5","","GO:0031099","0.3455931955649724","0"
"18","4","GO Biological Process","","Definitive hemopoiesis","3.5E-4","SP3|GATA2|HIPK1|CBFB","45910","46218|46044|46149|46269","1.18E-5","","GO:0060216","0.3455931955649724","0"
"18","4","GO Biological Process","","Mammary gland epithelial cell differentiation","3.5E-4","CEBPB|LATS1|HIF1A|AKT1","45910","46053|45999|46071|46374","1.18E-5","","GO:0060644","0.3455931955649724","0"
"321","11","GO Biological Process","","Regulation of developmental growth","3.6E-4","STAT3|SRF|GATA6|RUNX1|GSK3B|JARID2|DUSP9|WT1|PPARA|LATS1|AKT1","45910","46305|46368|46278|46194|46338|46275|46359|46242|46119|45999|46374","1.21E-5","","GO:0048638","0.3443697499232713","0"
"1104","22","GO Molecular Function","","Transition metal ion binding","3.6E-4","CYP27B1|EGR1|RARA|KAT6A|GATA6|TP53|PRKACA|PGR|RARB|SMAD3|GATA2|KDM5B|NR5A1|SF1|WT1|GATA3|NR2F2|PPARA|RARG|RIOX1|NR1H3|NR4A3","45910","46101|46296|46323|46185|46278|46335|46014|46227|46287|46215|46044|46344|46320|46110|46242|46125|46077|46119|46107|46326|46140|46377","3.87E-6","","GO:0046914","0.3443697499232713","0"
"111","7","GO Biological Process","","Positive regulation of histone modification","3.8E-4","MAPK3|JDP2|TP53|MYB|JARID2|GATA3|CTNNB1","45910","46029|46155|46335|46332|46275|46125|46233","1.28E-5","","GO:0031058","0.342021640338319","0"
"19","4","Reactome Pathways","","Transcription of E2F targets under negative control by DREAM complex","3.9E-4","E2F1|TFDP1|E2F4|MYC","45910","46020|46341|46362|46191","1.42E-5","","HSA-1362277","0.3408935392973501","0"
"19","4","Reactome Pathways","","Nuclear events stimulated by ALK signaling in cancer","3.9E-4","MAPK3|STAT3|JUNB|CEBPB","45910","46029|46305|46272|46053","1.42E-5","","HSA-9725371","0.3408935392973501","0"
"42","5","GO Biological Process","","Regulation of T-helper cell differentiation","4.0E-4","RARA|JUNB|MYB|ZC3H12A|GATA3","45910","46323|46272|46332|46350|46125","1.38E-5","","GO:0045622","0.33979400086720374","0"
"326","11","GO Biological Process","","Negative regulation of protein phosphorylation","4.1E-4","PPM1F|PLK1|PRKCD|PTPRB|DUSP19|JUN|ZC3H12A|NR2F2|LATS1|HNF1A|AKT1","45910","46365|46035|46008|46173|46293|46302|46350|46077|45999|46083|46374","1.4E-5","","GO:0001933","0.33872161432802644","0"
"5","3","Reactome Pathways","","Activation of NOXA and translocation to mitochondria","4.1E-4","TP53|E2F1|TFDP1","45910","46335|46020|46341","1.51E-5","","HSA-111448","0.33872161432802644","0"
"5","3","Reactome Pathways","","TFAP2 (AP-2) family regulates transcription of cell cycle factors","4.1E-4","KDM5B|MYC|TFAP2A","45910","46344|46191|46056","1.51E-5","","HSA-8866911","0.33872161432802644","0"
"74","6","GO Biological Process","","Cranial skeletal system development","4.2E-4","SMAD2|TP63|SMAD3|RUNX2|CTNNB1|TFAP2A","45910","46113|46128|46215|46260|46233|46056","1.43E-5","","GO:1904888","0.33767507096021","0"
"307","12","DISEASES","","Carcinoma","4.2E-4","NANOG|EPAS1|STAT3|TP63|TP53|PGR|MITF|EWSR1|HIF1A|AKT1|MYC|CTNNB1","45910","46245|46386|46305|46128|46335|46227|46146|46062|46071|46374|46191|46233","1.29E-6","","DOID:305","0.33767507096021","0"
"114","7","GO Biological Process","","Stem cell population maintenance","4.4E-4","SPI1|NANOG|SOX9|STAT3|REST|GATA2|CTNNB1","45910","46314|46245|46239|46305|46122|46044|46233","1.5E-5","","GO:0019827","0.33565473235138127","0"
"5","3","GO Biological Process","","Positive regulation of transcription from RNA polymerase II promoter in response to hypoxia","4.4E-4","TP53|NFE2L2|HIF1A","45910","46335|46221|46071","1.51E-5","","GO:0061419","0.33565473235138127","0"
"14","4","GO Molecular Function","","I-SMAD binding","4.6E-4","SMAD2|SMAD1|SMAD3|CTNNB1","45910","46113|46317|46215|46233","5.03E-6","","GO:0070411","0.3337242168318426","0"
"14","4","GO Molecular Function","","HMG box domain binding","4.6E-4","EGR2|SP1|GATA3|DLX5","45910","46251|46182|46125|46179","5.03E-6","","GO:0071837","0.3337242168318426","0"
"117","7","Reactome Pathways","","PPARA activates gene expression","4.7E-4","AHR|SP1|NFYA|NCOA3|MTF1|PPARA|NR1H3","45910","46206|46182|46134|46263|46116|46119|46140","1.76E-5","","HSA-1989781","0.33279021420642824","0"
"162","8","GO Biological Process","","Morphogenesis of a branching epithelium","4.8E-4","SOX9|TP63|SRF|PGR|KDM5B|WT1|MYC|CTNNB1","45910","46239|46128|46368|46227|46344|46242|46191|46233","1.65E-5","","GO:0061138","0.3318758762624413","0"
"44","5","GO Biological Process","","mRNA transcription by RNA polymerase II","4.9E-4","RARA|EPAS1|STAT3|ATF4|NR1H3","45910","46323|46386|46305|46197|46140","1.7E-5","","GO:0042789","0.3309803919971486","0"
"217","9","GO Biological Process","","Cellular response to nutrient levels","5.3E-4","USF2|MAPK3|SRF|TP53|ATF4|ZC3H12A|MAPK8|NFE2L2|PPARA","45910","46371|46029|46368|46335|46197|46350|46284|46221|46119","1.85E-5","","GO:0031669","0.3275724130399211","0"
"274","10","GO Biological Process","","Negative regulation of transferase activity","5.3E-4","PPM1F|TP53|PLK1|GSK3B|PRKCD|PTPRB|DUSP19|NR2F2|LATS1|AKT1","45910","46365|46335|46035|46338|46008|46173|46293|46077|45999|46374","1.82E-5","","GO:0051348","0.3275724130399211","0"
"45","5","GO Biological Process","","Regulation of erythrocyte differentiation","5.4E-4","SPI1|STAT3|GATA2|ETS1|HIF1A","45910","46314|46305|46044|46290|46071","1.88E-5","","GO:0045646","0.3267606240177031","0"
"45","5","GO Biological Process","","Lung morphogenesis","5.4E-4","SOX9|MAPK3|SRF|STK40|CTNNB1","45910","46239|46029|46368|46011|46233","1.88E-5","","GO:0060425","0.3267606240177031","0"
"21","4","GO Biological Process","","Sertoli cell differentiation","5.7E-4","SOX9|RARA|ATRX|NR5A1","45910","46239|46323|46299|46320","2.01E-5","","GO:0060008","0.3244125144327509","0"
"82","7","DISEASES","","Connective tissue cancer","6.0E-4","TP53|EZH2|ATRX|MITF|EWSR1|FLI1|NR4A3","45910","46335|46026|46299|46146|46062|46041|46377","1.95E-6","","DOID:201","0.32218487496163567","0"
"51","6","DISEASES","","Kidney cancer","6.0E-4","EPAS1|TP53|REST|WT1|HIF1A|CTNNB1","45910","46386|46335|46122|46242|46071|46233","1.95E-6","","DOID:263","0.32218487496163567","0"
"121","7","GO Biological Process","","Response to estradiol","6.2E-4","RARA|STAT3|EZH2|NCOA3|NR2F2|HSF1|CTNNB1","45910","46323|46305|46026|46263|46077|46203|46233","2.17E-5","","GO:0032355","0.3207608310501746","0"
"964","19","GO Biological Process","","Regulation of response to external stimulus","6.3E-4","NFKB1|SPI1|CYP27B1|IRF1|MAPK3|PPM1F|CASP6|GATA6|CEBPB|STAT2|PRKCD|SMAD3|ZC3H12A|GATA3|ETS1|NFE2L2|RELA|PPARA|NR1H3","45910","46254|46314|46101|46329|46029|46365|46167|46278|46053|46038|46008|46215|46350|46125|46290|46221|46200|46119|46140","2.23E-5","","GO:0032101","0.3200659450546418","0"
"47","5","GO Biological Process","","Blastocyst formation","6.4E-4","SRF|JUNB|SP3|GABPA|LATS1","45910","46368|46272|46218|46065|45999","2.28E-5","","GO:0001825","0.3193820026016113","0"
"81","6","GO Biological Process","","Lens development in camera-type eye","6.5E-4","SMAD3|ATF4|KDM5B|GATA3|HIPK1|CTNNB1","45910","46215|46197|46344|46125|46149|46233","2.31E-5","","GO:0002088","0.31870866433571443","0"
"170","8","GO Biological Process","","Female pregnancy","6.5E-4","CYP27B1|RARA|JUNB|FOS|SP3|PGR|NR2F2|AKT1","45910","46101|46323|46272|46002|46218|46227|46077|46374","2.31E-5","","GO:0007565","0.31870866433571443","0"
"346","11","GO Biological Process","","Regulation of autophagy","6.7E-4","CSNK2A2|MAPK3|STAT3|TP53|PRKACA|GSK3B|KLHL22|ZC3H12A|MAPK8|HIF1A|AKT1","45910","46080|46029|46305|46335|46014|46338|46086|46350|46284|46071|46374","2.38E-5","","GO:0010506","0.31739251972991733","0"
"103","7","GO Cellular Component","","PML body","6.9E-4","KAT6A|TP53|SP3|ATRX|SATB1|HIPK1|HSF1","45910","46185|46335|46218|46299|46188|46149|46203","8.04E-6","","GO:0016605","0.3161150909262745","0"
"48","5","GO Biological Process","","Prostate gland development","7.0E-4","SOX9|RARA|TP63|RARG|CTNNB1","45910","46239|46323|46128|46107|46233","2.5E-5","","GO:0030850","0.3154901959985743","0"
"48","5","GO Biological Process","","Regulation of myelination","7.0E-4","EGR2|RARA|RARG|AKT1|CTNNB1","45910","46251|46323|46107|46374|46233","2.5E-5","","GO:0031641","0.3154901959985743","0"
"48","5","GO Biological Process","","Autonomic nervous system development","7.0E-4","EGR2|TP63|GATA3|CTNNB1|TFAP2A","45910","46251|46128|46125|46233|46056","2.5E-5","","GO:0048483","0.3154901959985743","0"
"48","5","GO Biological Process","","Digestive tract morphogenesis","7.0E-4","SMAD2|TP63|SMAD3|HIF1A|CTNNB1","45910","46113|46128|46215|46071|46233","2.5E-5","","GO:0048546","0.3154901959985743","0"
"124","7","GO Biological Process","","Regulation of DNA binding","7.0E-4","REST|E2F1|JUN|GATA3|MAPK8|CEBPG|CTNNB1","45910","46122|46020|46302|46125|46284|46143|46233","2.52E-5","","GO:0051101","0.3154901959985743","0"
"48","5","GO Biological Process","","Positive regulation of stem cell proliferation","7.0E-4","NANOG|SOX9|TP63|RUNX2|CTNNB1","45910","46245|46239|46128|46260|46233","2.5E-5","","GO:2000648","0.3154901959985743","0"
"1251","22","GO Biological Process","","Regulation of phosphorylation","7.3E-4","EGR1|SOX9|MAPK3|PPM1F|STAT3|TP53|PLK1|STAT2|EZH2|PRKCD|PTPRB|DUSP19|JUN|ZC3H12A|NR2F2|PPARA|TNIK|HSF1|LATS1|HIF1A|HNF1A|AKT1","45910","46296|46239|46029|46365|46305|46335|46035|46038|46026|46008|46173|46293|46302|46350|46077|46119|46209|46203|45999|46071|46083|46374","2.65E-5","","GO:0042325","0.3136677139879544","0"
"174","8","GO Biological Process","","Negative regulation of DNA-binding transcription factor activity","7.5E-4","SPI1|NR0B2|EZH2|E2F1|WWP2|ZC3H12A|TFDP1|CEBPG","45910","46314|46356|46026|46020|46212|46350|46341|46143","2.7E-5","","GO:0043433","0.31249387366083","0"
"23","4","GO Biological Process","","Epithelial cell maturation","7.6E-4","EPAS1|PGR|GATA2|HIF1A","45910","46386|46227|46044|46071","2.75E-5","","GO:0002070","0.3119186407719209","0"
"49","5","GO Biological Process","","Thymus development","7.6E-4","MAPK3|SRF|JARID2|GATA3|CTNNB1","45910","46029|46368|46275|46125|46233","2.74E-5","","GO:0048538","0.3119186407719209","0"
"126","7","GO Biological Process","","Odontogenesis","7.7E-4","TP63|GATA6|RUNX2|PPARA|SP7|PITX2|CTNNB1","45910","46128|46278|46260|46119|46059|46308|46233","2.78E-5","","GO:0042476","0.31135092748275184","0"
"84","6","GO Biological Process","","Cardiac muscle cell differentiation","7.7E-4","RARA|SRF|GATA6|RARB|WT1|MEF2A","45910","46323|46368|46278|46287|46242|46170","2.81E-5","","GO:0055007","0.31135092748275184","0"
